"feature","importance","dataset","seed"
"ENSBTAG00000009761-ENSBTAG00000002144",0,"vivo",893
"ENSBTAG00000009761-ENSBTAG00000012314",0,"vivo",893
"ENSBTAG00000005481-ENSBTAG00000003166",0,"vivo",893
"ENSBTAG00000012444-ENSBTAG00000015910",0,"vivo",893
"ENSBTAG00000012444-ENSBTAG00000015127",0,"vivo",893
"ENSBTAG00000010663-ENSBTAG00000013745",0.046543581785781,"vivo",893
"ENSBTAG00000010663-ENSBTAG00000019929",0,"vivo",893
"ENSBTAG00000010663-ENSBTAG00000015910",0,"vivo",893
"ENSBTAG00000001141-ENSBTAG00000013745",0,"vivo",893
"ENSBTAG00000001141-ENSBTAG00000015910",0,"vivo",893
"ENSBTAG00000001141-ENSBTAG00000022799",0,"vivo",893
"ENSBTAG00000019694-ENSBTAG00000013745",0,"vivo",893
"ENSBTAG00000017455-ENSBTAG00000017266",0,"vivo",893
"ENSBTAG00000017455-ENSBTAG00000019929",0,"vivo",893
"ENSBTAG00000017455-ENSBTAG00000015910",0,"vivo",893
"ENSBTAG00000017455-ENSBTAG00000013755",0,"vivo",893
"ENSBTAG00000021048-ENSBTAG00000002144",0,"vivo",893
"ENSBTAG00000021048-ENSBTAG00000017981",0,"vivo",893
"ENSBTAG00000021048-ENSBTAG00000008483",0,"vivo",893
"ENSBTAG00000021048-ENSBTAG00000016948",0,"vivo",893
"ENSBTAG00000021048-ENSBTAG00000019903",0,"vivo",893
"ENSBTAG00000021048-ENSBTAG00000020704",0,"vivo",893
"ENSBTAG00000021048-ENSBTAG00000017489",0,"vivo",893
"ENSBTAG00000013191-ENSBTAG00000015910",0,"vivo",893
"ENSBTAG00000014556-ENSBTAG00000026676",0,"vivo",893
"ENSBTAG00000013201-ENSBTAG00000020319",0,"vivo",893
"ENSBTAG00000014051-ENSBTAG00000013745",0,"vivo",893
"ENSBTAG00000014051-ENSBTAG00000015910",0,"vivo",893
"ENSBTAG00000014051-ENSBTAG00000020148",0,"vivo",893
"ENSBTAG00000014051-ENSBTAG00000003777",0,"vivo",893
"ENSBTAG00000011034-ENSBTAG00000020148",0,"vivo",893
"ENSBTAG00000011034-ENSBTAG00000003777",0,"vivo",893
"ENSBTAG00000021811-ENSBTAG00000020148",0,"vivo",893
"ENSBTAG00000021811-ENSBTAG00000003777",0,"vivo",893
"ENSBTAG00000011810-ENSBTAG00000003777",0,"vivo",893
"ENSBTAG00000002473-ENSBTAG00000003777",0,"vivo",893
"ENSBTAG00000015978-ENSBTAG00000039292",0,"vivo",893
"ENSBTAG00000015978-ENSBTAG00000013290",0,"vivo",893
"ENSBTAG00000015978-ENSBTAG00000011628",0,"vivo",893
"ENSBTAG00000019993-ENSBTAG00000039292",0,"vivo",893
"ENSBTAG00000019993-ENSBTAG00000027516",0,"vivo",893
"ENSBTAG00000009212-ENSBTAG00000012314",0,"vivo",893
"ENSBTAG00000019770-ENSBTAG00000012314",0,"vivo",893
"ENSBTAG00000012398-ENSBTAG00000012314",0,"vivo",893
"ENSBTAG00000012398-ENSBTAG00000014357",0.0546639513739386,"vivo",893
"ENSBTAG00000012398-ENSBTAG00000008008",0.1071452250089,"vivo",893
"ENSBTAG00000020556-ENSBTAG00000018517",0.217654241224204,"vivo",893
"ENSBTAG00000023600-ENSBTAG00000005910",0,"vivo",893
"ENSBTAG00000010123-ENSBTAG00000012314",0,"vivo",893
"ENSBTAG00000010123-ENSBTAG00000005903",0,"vivo",893
"ENSBTAG00000010123-ENSBTAG00000000736",0,"vivo",893
"ENSBTAG00000010123-ENSBTAG00000014269",0,"vivo",893
"ENSBTAG00000010123-ENSBTAG00000014611",0,"vivo",893
"ENSBTAG00000010123-ENSBTAG00000018517",0.158580632227268,"vivo",893
"ENSBTAG00000017753-ENSBTAG00000039292",0.0547352521800785,"vivo",893
"ENSBTAG00000017753-ENSBTAG00000015228",0,"vivo",893
"ENSBTAG00000017753-ENSBTAG00000015996",0.303198189918802,"vivo",893
"ENSBTAG00000017753-ENSBTAG00000004334",0,"vivo",893
"ENSBTAG00000017753-ENSBTAG00000020979",0,"vivo",893
"ENSBTAG00000017753-ENSBTAG00000020054",0.106627114636516,"vivo",893
"ENSBTAG00000018134-ENSBTAG00000011628",0,"vivo",893
"ENSBTAG00000018134-ENSBTAG00000010444",0,"vivo",893
"ENSBTAG00000007725-ENSBTAG00000012687",0,"vivo",893
"ENSBTAG00000045582-ENSBTAG00000002144",0,"vivo",893
"ENSBTAG00000045582-ENSBTAG00000012314",0,"vivo",893
"ENSBTAG00000034077-ENSBTAG00000003848",0,"vivo",893
